123466|80001|0      |80002|78      |80003|123123
123466|80001|0      |80002|18      |80003|123123
123466|80001|64     |80002|78      |80003|123123
123466|80001|3      |80002|78      |80003|123123
123466|80001|6      |80002|48      |80003|123123
123466|80001|6      |80002|78      |80003|123123
123466|80001|19     |80002|78      |80003|123123
123466|80001|6      |80002|8       |80003|123123
123466|80001|9      |80002|78      |80003|123123
123466|80001|0      |80002|78      |80003|123123
123466|80001|0      |80002|78      |80003|123123
